"Error! Payment failed, please try again later.","خطأ: فشلت عملية الدفع، الرجاء المحاولة مرة أخرى."
"Error! Could not place order.","خطأ ، لم نستطع إتمام طلبك."
"Apple Pay is not properly configured","لم يتم إعداد Apple Pay بشكل صحيح"
"Apple Pay is not supported on your browser","Apple Pay ليست مدعومة في متصفحك"
"Visa and MasterCard","فيزا وماستركارد"
"Mada Online","مدى أونلاين"
"Please enter a valid Saudi Mobile Number","الرجاء استخدام رقم جوال سعودي صحيح"
"Account Mobile Number":"رقم جوال الحساب"
"One-Time Password":"كلمة المرور المؤقتة"
"Pay":"ادفع"
