"Payment Attempt Failed, and Order have been canceled.","Payment Attempt Failed, and order has been canceled."
"Payment %payment_id failed and order has been canceled.","Payment %payment_id failed and order has been canceled."
"Order canceled","Order canceled"
"Order updated successfully","Order updated successfully"
"No payment was found for your order.","No payment was found for your order."
"Could not verify your payment for order %order_id: %error. Error ID: %error_id","Could not verify your payment for order %order_id: %error. Error ID: %error_id"
"Payment failed","Payment failed"
"Un-matching payment details %payment_id.","Un-matching payment details %payment_id."
"Order and payment currencies does not match, %currency.","Order and payment currencies does not match, %currency."
"Order and payment amounts do not match %total.","Order and payment amounts do not match %total."
"Failed loading order data.","Failed loading order data."
"Failed placing order, please try again.","Failed placing order, please try again."
"Error! Payment failed, please try again later.","Error! Payment failed, please try again later."
"Go Back","Go Back"
"Place Order","Place Order"
"Pay":"Pay"
